EPA AQS ID,Country Code,Data Source,EPA Region,Elevation,GMT Offset Amount (hours),Latitude,Local Time at Monitor,Longitude,OZONE,Ozone & PM AQI,Ozone & PM AQI (For Labeling),Ozone & PM AQI (For Sorting),Ozone AQI,Ozone AQI (For Labeling),Ozone AQI (For Sorting),Ozone Measured at Site,Ozone Unit of Measure,PM10,PM10 AQI,PM10 AQI (For Labeling),PM10 AQI (For Sorting),PM10 Measured at Site,PM10 Unit of Measure,PM2.5,PM2.5 AQI,PM2.5 AQI (For Labeling),PM2.5 AQI (For Sorting),PM2.5 Measured at Site,PM2.5 Unit of Measure,PM2.5 & PM10 AQI,PM2.5 & PM10 AQI (For Labeling),PM2.5 & PM10 AQI (For Sorting),Reporting Area(s),Site Name,State Name,Site Operational Status,ValidTime,ObjectId,MonitorType,x,y
40134008,US,Maricopa County Air Quality Department,R9,587.4,-7,33.8217,2026-01-27 07:00:00 GMT-7,-112.0174,26,28,28,28,28,28,28,1,PPB,,,ND,-999,0,,,,ND,-999,0,,,ND,-999,Phoenix,Cave Creek,AZ,Active,1/27/2026 14:00,556339800,Permanent,-12469719.93,4004885.745
40134020,US,Maricopa County Air Quality Department,R9,324.5,-7,33.461807,2026-01-27 07:00:00 GMT-7,-112.128044,,,ND,-999,,ND,-999,0,,,,ND,-999,0,,,,ND,-999,0,,,ND,-999,Phoenix,Thirty Third,AZ,Active,1/27/2026 14:00,556339806,Permanent,-12482036.76,3956762.771
40134021,US,Maricopa County Air Quality Department,R9,0,-7,33.41046,2026-01-27 07:00:00 GMT-7,-112.002642,,57,57,57,,ND,-999,0,,,,ND,-999,0,,13.9,57,57,57,1,UG/M3,57,57,57,Phoenix,Eastwood,AZ,Active,1/27/2026 14:00,556339807,Permanent,-12468077.07,3949913.258
40137021,US,Salt River Pima-Maricopa Indian Community,R9,394.7,-7,33.5079,2026-01-27 07:00:00 GMT-7,-111.754601,29,26,26,26,26,26,26,1,PPB,,,ND,-999,0,,,,ND,-999,0,,,ND,-999,Salt River Pima-Maricopa Indian Community,Red Mountain,AZ,Active,1/27/2026 14:00,556339810,Permanent,-12440465.28,3962914.875
40139508,US,Maricopa County Air Quality Department,R9,1583,-7,33.9828,2026-01-27 07:00:00 GMT-7,-111.7987,45,41,41,41,41,41,41,1,PPB,,,ND,-999,0,,,,ND,-999,0,,,ND,-999,Phoenix,Humboldt Mountain - Tonto N.F.,AZ,Active,1/27/2026 14:00,556339814,Permanent,-12445374.36,4026492.72
40139702,US,Maricopa County Air Quality Department,R9,436.2,-7,33.5455,2026-01-27 07:00:00 GMT-7,-111.6093,20,21,21,21,21,21,21,1,PPB,,,ND,-999,0,,,,ND,-999,0,,,ND,-999,Phoenix,Blue Point Sheriff Sub-station,AZ,Active,1/27/2026 14:00,556339815,Permanent,-12424290.44,3967935.832
40139704,US,Maricopa County Air Quality Department,R9,505.1,-7,33.611,2026-01-27 07:00:00 GMT-7,-111.7253,33,30,30,30,30,30,30,1,PPB,,,ND,-999,0,,,,ND,-999,0,,,ND,-999,McDowell,Fountain Hills,AZ,Active,1/27/2026 14:00,556339816,Permanent,-12437203.5,3976687.667
40190021,US,Pima County Department of Environmental Quality,R9,0,-7,32.1764,2026-01-27 07:00:00 GMT-7,-110.7378,39,32,32,32,32,32,32,1,PPB,,,ND,-999,0,,,,ND,-999,0,,,ND,-999,Tucson,Saguaro National Park,AZ,Active,1/27/2026 14:00,556339826,Permanent,-12327275.51,3786488.207
40191011,US,Pima County Department of Environmental Quality,R9,0,-7,32.205,2026-01-27 07:00:00 GMT-7,-110.8772,27,27,27,27,27,27,27,1,PPB,,,ND,-999,0,,,,ND,-999,0,,,ND,-999,Tucson,22nd Street & Craycroft,AZ,Active,1/27/2026 14:00,556339828,Permanent,-12342793.44,3790250.246
40191018,US,Pima County Department of Environmental Quality,R9,0,-7,32.4253,2026-01-27 07:00:00 GMT-7,-111.0669,23,22,22,22,22,22,22,1,PPB,,,ND,-999,0,,,,ND,-999,0,,,ND,-999,Tucson,Tangerine & Camino de Oeste,AZ,Active,1/27/2026 14:00,556339829,Permanent,-12363910.75,3819268.251
40191020,US,Pima County Department of Environmental Quality,R9,0,-7,32.0475,2026-01-27 07:00:00 GMT-7,-110.7739,37,32,32,32,32,32,32,1,PPB,,,ND,-999,0,,,,ND,-999,0,,,ND,-999,Tucson,Fairgrounds,AZ,Active,1/27/2026 14:00,556339830,Permanent,-12331294.14,3769547.357
40191028,US,Pima County Department of Environmental Quality,R9,0,-7,32.2953,2026-01-27 07:00:00 GMT-7,-110.9822,1,31,31,31,6,6,6,1,PPB,,,ND,-999,0,,6,31,31,31,1,UG/M3,31,31,31,Tucson,Children's Park Site,AZ,Active,1/27/2026 14:00,556339831,Permanent,-12354481.99,3802136.066
40191032,US,Pima County Department of Environmental Quality,R9,0,-7,32.1731,2026-01-27 07:00:00 GMT-7,-110.9797,,,ND,-999,,ND,-999,1,,,,ND,-999,0,,,,ND,-999,1,,,ND,-999,Tucson,Rose Elementary,AZ,Active,1/27/2026 14:00,556339833,Permanent,-12354203.69,3786054.201
40191034,US,Pima County Department of Environmental Quality,R9,0,-7,32.3806,2026-01-27 07:00:00 GMT-7,-111.1272,11,10,10,10,10,10,10,1,PPB,,,ND,-999,0,,-2,0,0,0,1,UG/M3,0,0,0,Tucson,Coachline,AZ,Active,1/27/2026 14:00,556339834,Permanent,-12370623.32,3813374.636
40213001,US,Pinal County Air Quality Control District,R9,0,-7,33.421406,2026-01-27 07:00:00 GMT-7,-111.543596,35,31,31,31,31,31,31,1,PPB,,,ND,-999,0,,,,ND,-999,0,,,ND,-999,Phoenix,AJ Maintenance Yard,AZ,Active,1/27/2026 14:00,556339850,Permanent,-12416976.31,3951373.077
40213003,US,Pinal County Air Quality Control District,R9,0,-7,32.9544,2026-01-27 07:00:00 GMT-7,-111.7622,35,31,31,31,31,31,31,1,PPB,,,ND,-999,0,,,,ND,-999,0,,,ND,-999,West Pinal,C GRANDE,AZ,Active,1/27/2026 14:00,556339852,Permanent,-12441311.19,3889252.889
40218001,US,Arizona Department of Environmental Quality,R9,668.3,-7,33.289398,2026-01-27 07:00:00 GMT-7,-111.292801,41,36,36,36,36,36,36,1,PPB,,,ND,-999,0,,,,ND,-999,0,,,ND,-999,,Queen Valley,AZ,Active,1/27/2026 14:00,556339863,Permanent,-12389057.94,3933780.009
40258034,US,Arizona Department of Environmental Quality,R9,0,-7,34.61205,2026-01-27 07:00:00 GMT-7,-112.46321,27,25,25,25,25,25,25,1,PPB,,,ND,-999,0,,,,ND,-999,0,,,ND,-999,Prescott,Prescott Pioneer Park,AZ,Active,1/27/2026 14:00,556339871,Permanent,-12519347.27,4111284.472
60010009,US,Bay Area Air District,R9,9.8,-8,37.743061,2026-01-27 06:00:00 GMT-8,-122.169907,9,68,68,68,11,11,11,1,PPB,,,ND,-999,0,,19,68,68,68,1,UG/M3,68,68,68,Oakland,Oakland,CA,Active,1/27/2026 14:00,556340022,Permanent,-13599891.84,4543192.266
